,Rank,NCTId,PrimaryCompletionDate,BriefSummary,BriefTitle,ResponsiblePartyInvestigatorAffiliation,ResponsiblePartyInvestigatorFullName,PrimaryOutcomeDescription,Phase,Condition,ConditionMeshTerm,LocationCountry
230,231,NCT04335071,"September 27, 2020","The mortality rate of the disease caused by the corona virus induced disease (COVID-19) has been estimated to be 3.7% (WHO), which is more than 10-fold higher than the mortality of influenza. Patients with certain risk factors seem to die by an overwhelming reaction of the immune system to the virus, causing a cytokine storm with features of Cytokine-Release Syndrome (CRS) and Macrophage Activation Syndrome (MAS) and resulting in Acute Respiratory Distress Syndrome (ARDS). Several pro-inflammatory cytokines are elevated in the plasma of patients and features of MAS in COVID-19, include elevated levels of ferritin, d-dimer, and low platelets.||There is increasing data that cytokine-targeted biological therapies can improve outcomes in CRS or MAS and even in sepsis. Tocilizumab (TCZ), an anti-IL-6R biological therapy, has been approved for the treatment of CRS and is used in patients with MAS. Based on these data, it is hypothesized that TCZ can reduce mortality in patients with severe COVID-19 prone to CRS and ARDS.||The overall purpose of this study is to evaluate whether treatment with TCZ reduces the severity and mortality in patients with COVID-19.",Tocilizumab in the Treatment of Coronavirus Induced Disease (COVID-19),,,,Phase 2,SARS-CoV-2 Infection,COVID-19,Switzerland|Switzerland|Switzerland|Switzerland
231,232,NCT04377737,August 2020,"The Coronavirus disease 2019 (COVID-19) is causing a global pandemic with high morbidity and mortality among adults and mainly the elderly. Children seem to be little or not affected by this infection. It is estimated that children could be asymptomatic or pauci-symptomatic carriers and thus be vectors of the disease. This is why measures to close schools and confine populations have been decreed in a large number of countries, including France. However, there are only a few data on the prevalence of COVID19 disease in children. The deconfinement strategy depends on data on the prevalence of the disease, especially in children.||Investigators propose to evaluate the incidence of Covid-19 in preschool and elementary schools children in the city of Nice (South of France) during the pandemic period using a local prospective study of 914 children",Incidence of Covid-19 in School Children,,,measure by two rt-PCR COVID-19 tests regardless the serological status of the child,Not Applicable,"Infection; Viral, Coronavirus",COVID-19|Coronavirus Infections|Virus Diseases,France
232,233,NCT04364893,"October 1, 2020",Suspension of Angiotensin Receptor Blockers and Angiotensin-converting Enzyme Inhibitors and Adverse Outcomes in Hospitalized Patients With Coronavirus Infection.,Angiotensin Receptor Blockers and Angiotensin-converting Enzyme Inhibitors and Adverse Outcomes in Patients With COVID19,,,The primary outcome of the study will be days alive and outside the hospital (DAOH) at 30 days. This endpoint will be calculated for each included patient and the calculation will be from the date of randomization to the 30-day post-randomization. The DAOH endpoint represents the follow-up time (30 days) subtracted from the hospitalization days and/or the days between death and the end of follow-up.,Not Applicable,Corona Virus Infection|COVID-19,Infections|COVID-19|Coronavirus Infections,Brazil
233,234,NCT05054114,"May 25, 2021","It is known that the pretreatment with exogenous interferon blocks SARS-CoV-2 infection, but intervention is much more effective if administered prior to infection. In this study the primary aim is to investigate 28-day regime of nasal interferon gama use in healthy participants for COVID-19 and other respiratory infections prevention.","Prospective Randomized Open-label Comparative Study of the Use of Intranasal Form of Interferon Gamma Human Recombinant in Patients for the Prevention of Acute Respiratory Viral Infections, Icluding Coronavirus Infection Disease 2019 (COVID-19)",,,"The proportion of patients with acute respiratory viral infections, including COVID-19, assessed at visit 2 (at the end of the prophylaxis course and before the start of the follow-up period)",Not Applicable,COVID-19 Respiratory Infection|Acute Respiratory Disease,Infections|Communicable Diseases|COVID-19|Coronavirus Infections|Respiratory Tract Infections|Virus Diseases|Respiration Disorders|Respiratory Tract Diseases,Russian Federation
234,235,NCT04349098,"October 5, 2020","The main purpose of this study is to evaluate the activity of low dose oral selinexor (KPT-330) and to evaluate the clinical recovery, the viral load, length of hospitalization and the rate of morbidity and mortality in participants with severe COVID-19 compared to placebo.",Evaluation of Activity and Safety of Oral Selinexor in Participants With Severe COVID-19 Infection,,,,Phase 2,Coronavirus Infection,Infections|Communicable Diseases|COVID-19|Coronavirus Infections,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|Austria|France|France|France|Israel|Israel|Israel|Spain|Spain|United Kingdom|United Kingdom|United Kingdom|United Kingdom
235,236,NCT04353245,"September 30, 2021","Coronavirus disease 2019 (COVID-19) caused by severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) poses a significant threat to global health. As the disease progresses, a series of acute complications tend to develop in multiple organs. Beyond the supportive care, no specific treatment has been established for COVID-19. The effectiveness, both short-term and long-term, of some promising antivirals, such as the hydroxychloroquine combination with azithromycin, needs to be evaluated. This study aims to investigate the predictive role of cardiac biomarkers and pulmonary symptoms for late complications of COVID-19 coronavirus infection on the heart and lung in patients treated with the hydroxychloroquine / azithromycin combination therapy. Thus, COVID-19 coronavirus patients undergoing hydroxychloroquine / azithromycin combination therapy will be compared to patients not undergoing this therapy. The comparison will be made by the analysis of the relationships between (1) levels of ultrasensitive cardiac troponins collected at the beginning of the infection and cardiac magnetic resonance data in the 3rd and 12th months of troponin collection and (2) findings CT scans and the results of the ergospirometers tests performed in those same periods. It is expected to demonstrate that: (1) cardiac troponin and lung tomographic findings can predict late complications of COVID-19 coronavirus infection in the heart and lung, assessed by cardiac magnetic resonance and ergospirometers one year after the beginning of the infection, and (2) hydroxychloroquine / azithromycin combined therapy can abolish the onset of these complications late. Furthermore, the results may point to the need for more rigorous monitoring of cardiologists and pulmonologists of these patients, due to the risk of hemodynamic complications, arrhythmogenic and respiratory.",Study of Biomarkers in the Long-term Impact of Coronavirus Infection in the Cardiorespiratory System,University of Sao Paulo General Hospital,Carlos Vicente Serrano Jr,presence of fibrosis on cardiac resonance and / or decreased functional capacity on ergospirometry|Decreased functional capacity on ergospirometers,,COVID19|Corona Virus Infection|Myocardial Injury|Pneumonia,Infections|Communicable Diseases|COVID-19|Coronavirus Infections|Virus Diseases,Brazil
236,237,NCT04391179,"February 22, 2021","The most severe manifestations of COVID-19 include respiratory failure, coagulation problems, and death. Inflammation and blood clotting are believed to play an important role in these manifestations. Research in humans has shown that dipyridamole can reduce blood clotting. This research study is being conducted to learn whether 14 days of treatment with dipyridamole will reduce excessive blood clotting in COVID-19.||This study will enroll participants with confirmed coronavirus (SARS-CoV)-2 infection that are admitted. Eligible participants will be randomized to receive dipyridamole or placebo for 14 days in the hospital. In addition, data will be collected from the medical record, and there will also be blood draws during the hospitalization.",Dipyridamole to Prevent Coronavirus Exacerbation of Respiratory Status (DICER) in COVID-19,University of Michigan,Jason Scott Knight,Increase in plasma D-dimer level compared with baseline at enrollment.,Phase 2,COVID|Corona Virus Infection|Covid-19|SARS-CoV-2 Infection,Infections|Communicable Diseases|COVID-19|Coronavirus Infections,United States
237,238,NCT04530396,"May 1, 2021","Randomized, double-blind (blinded for the trial subject and the study physician), placebo controlled, multi-center clinical trial in parallel assignment of efficacy, immunogenicity, and safety of the Gam-COVID-Vac combined vector vaccine against the SARS-CoV-2-induced coronavirus infection in adults in the SARS-СoV-2 infection prophylactic treatment.","Clinical Trial of Efficacy, Safety, and Immunogenicity of Gam-COVID-Vac Vaccine Against COVID-19",,,"Demonstrate the superiority of Gam-COVID-Vac combined vector vaccine against the SARS-CoV-2-induced coronavirus infection compared to placebo, based on the percentage of trial subjects with coronavirus disease 2019 (COVID-19) developed within 6 months after the second dose of the study drug/placebo, as confirmed with the method of polymerase chain reaction (PCR)",Phase 3,Covid19 Prevention,COVID-19,Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation|Russian Federation
238,239,NCT04307693,"April 30, 2020","In vitro studies revealed that lopinavir/ritonavir and hydroxychloroquine have antiviral activity against Severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). However, there is no clinical studies on the reduction of viral load in patients with COVID-19. This study investigate whether lopinavir/ritonavir or hydroxychloroquine reduces viral load from respiratory specimen in patients with mild COVID-19.",Comparison of Lopinavir/Ritonavir or Hydroxychloroquine in Patients With Mild Coronavirus Disease (COVID-19),Asan Medical Center,Sung-Han Kim,Area under the curve (AUC) of Ct value or viral copies number per mL,Phase 2,COVID-19,COVID-19,"Korea, Republic of"
239,240,NCT04476602,"December 31, 2020",Descriptive report of the Northwell CROWN program for ambulatory treatment of COVID-19 (SARS-CoV-2) patients with moderate to high risk features,Ambulatory Management of Moderate to High Risk COVID-19 (SARS-CoV-2) Patients - The Coronavirus Related Outpatient Work Navigators (CROWN) Protocol,Northwell Health,Gita Lisker,admission to hospital,,Covid-19 (SARS-CoV-2),COVID-19,United States
240,241,NCT04508023,"February 22, 2022","The purpose of this study is to evaluate whether rivaroxaban reduces the risk of a composite endpoint of major venous and arterial thrombotic events, all-cause hospitalization, and all-cause mortality compared with placebo in outpatients with acute, symptomatic Coronavirus Disease 2019 (COVID-19) Infection.","A Study of Rivaroxaban to Reduce the Risk of Major Venous and Arterial Thrombotic Events, Hospitalization and Death in Medically Ill Outpatients With Acute, Symptomatic Coronavirus Disease 2019 (COVID-19) Infection",,,"Time to first occurrence of a composite endpoint of symptomatic venous thromboembolism (VTE), myocardial infarction (MI), ischemic stroke, acute limb ischemia, noncentral nervous system (non-CNS) systemic embolization, all-cause hospitalization, and all-cause mortality will be assessed.",Phase 3,Coronavirus Disease 2019 (COVID-19),COVID-19|Coronavirus Infections,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States
241,242,NCT04747366,"November 1, 2025","NAPKON-HAP is the deep phenotyping platform of the National Pandemic Cohort Network (NAPKON) in Germany. NAPKON is a data and biospecimen collection of patients with COVID-19 and is part of the University Medicine Network (NUM) in Germany. The primary objective of the study is to provide a comprehensive collection of data and biosamples for researchers from national consortia and for participation in international research collaborations for studying COVID-19 and future pandemics.||Data is collected from patients with COVID-19 three times per week during their hospitalization and at follow-up visits after hospital discharge 3, 6, 12, 24, and 36 months after symptom onset. Data include epidemiological and demographic parameters, medical history and potential risk factors, documentation of routine medical procedures, and clinical course, including different patterns of organ involvement, quality of care, morbidity, and quality of life. Moreover, extensive serial high-quality bio sampling consisting of various sample types is performed to allow deep molecular, immunological, and virological phenotyping.||Patients not requiring Intensive Care Unit (ICU)/ Intermediate Care (IMC) treatment will receive 7 and patients requiring ICU/IMC treatment will receive 16 full-phenotyping visits including sampling for biobanking. During hospitalisation the planned blood sampling rate in total is 35 ml at each visit. The total amounts and/or sampling dates may differ according to the ethics committee's regulations for different study centers.||At follow-up visits, the clinical assessment includes an update of the medical history and recent medical events from which additional clinical data is collected (i.e. outpatient CT-scans, echocardiography, external laboratory data). Clinical symptoms are recorded and a physical examination will be performed. Vital signs are recorded and routine blood testing and biosampling is continued. Quality of life is measured with patient-reported outcome questionnaires.||Follow-up visits at months 3 and 12 are ""deep phenotyping"" visits with a comprehensive and detailed set of examinations. In the following visits at months 24 and 36, only examinations with pathologic results from the last deep phenotyping visit at month 12 will be performed.||A shorter follow-up visit to record quality of life, recent medical events and with a reduced number of examinations focusing on cardiorespiratory performance will take place at month 6.||In case of relevant medical events, new medical information or changes in the participant´s health status, an unscheduled visit can take place anytime within the entire study period.||Data collection during follow up includes standardized quality of life assessment including PROMIS® (Patient-Reported Outcomes Measurement Information System). The pulmonary characterization will include body plethysmography, diffusion capacity, respiratory muscles strength measurement, spiroergometry, capillary blood gas analysis and lung imaging studies (low-dose Computed Tomography (CT), Magnetic Resonance Imaging (MRI) of the lung). Cardiological phenotyping includes echocardiography, electrocardiogram (ECG), 24h-ECG, 24h-blood pressure monitoring, stress cardiac MRI and pulse wave analysis. Neurocognitive testing includes brain MRI, electroencephalogram (EEG), somatosensory testing, refractometry (Visit 3 and 12 months), physical activity test, neurocognitive tests, somatosensory phenotyping, taste- and smell-test. Endocrinological phenotyping will incorporate Advanced Glycation Endproducts (AGE) reader, continuous glucose monitoring for 14 days, Air Displacement Plethysmography (ADP) or bioelectrical impedance analysis (BIA).","Analysis of the Pathophysiology and Pathology of Coronavirus Disease 2019 (COVID-19), Including Chronic Morbidity","Charite University, Berlin, Germany",Prof. Dr. med. Martin Witzenrath,"Health related quality of life after hospital discharge will be assessed with the questionnaire European Quality of Life 5 Dimensions 5 Level Version (Eq5d5l)|Health related quality of life after hospital discharge will be assessed with the questionnaire Short Form Health 36 (Sf36)|Health related quality of life after hospital discharge will be assessed with the questionnaire Patient-Reported Outcomes Measurement Information System (PROMIS Profile)|Health related quality of life after hospital discharge will be assessed with the questionnaire Neuropathy Questionnaire (Mnsi)|Health related quality of life after hospital discharge will be assessed with the questionnaire Trauma Patient Health Questionnaire|Health related quality of life after hospital discharge will be assessed with the PTSD (Post-traumatic stress disorder) Checklist for Diagnostic and Statistical Manual of Mental Disorders 5 (PCL-5). The PTSD Checklist for DSM-5 is a 20-questions self-report measure that assesses the presence and severity of PTSD symptoms.|Health related quality of life after hospital discharge will be assessed with the questionnaire National Eye Institute Visual Function Questionnaire (NEI-VFQ)|Health related quality of life after hospital discharge will be assessed with the questionnaire St. George's Respiratory Questionnaire (SGRQ)|CANTAB tests can detect changes in neuropsychological performance and include tests of working memory, learning and executive function; visual, verbal and episodic memory; attention, information processing and reaction time; social and emotion recognition, decision making and response control.|This test is a screening procedure to determine cognitive deficits. Central cognitive functions are examined using 11 task complexes. This includes time and spatial orientation, learning and memory, attention, language and language skills, reading, writing, drawing and calculating (test duration approx. 10 minutes).|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. Using spiroergometry blood pressure is measured during the test and compared with normative values.|The MNSI will be used to screen patients for peripheral neuropathy.|PainDETECT will be used to screen patients for for neuropathic pain.|Quantitative sensory testing (QST) is a method for semiquantative evaluation of somatosensory nervous system disorders, including chronic pain and pain related to various diseases. It essentially determines the sensation and pain thresholds for cold and warm temperatures, and the vibration sensation threshold by stimulating the skin and comparing the results to normative values.|Point-of-care neuography measures nerve conduction using a point-of-care device (DPNcheck, Neurometrix Inc, USA).|Body plethysmography will yield information on the static and dynamic lung volumes to assess obstructive and restrictive ventilation patterns.|The DLCO test provides a general assessment of the lungs' ability to take up oxygen from the inspiratory air and to release carbon dioxide.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. ECG is a test, used to monitor the electrical activity of the heart. Standard placement of 12-lead electrodes will be used. The patient´s heart rate will be assessed longitudinally and compared to normative values.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. Two blood samples are taken 2 hours apart. The first one is taken before the spiroergometry test and the second one - 120 minutes after the first one. The total concentration of carbon dioxide (ctCO2) of the blood is measured and compared with normative values.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. The carbon dioxide content of the blood is measured during the test and compared with normative values.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. Two blood samples are taken 2 hours apart. The first one is taken before the spiroergometry test and the second one - 120 minutes after the first one. The pH value of the blood is measured and compared with normative values. The pH value describes how acidic or basic the blood is.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. Two blood samples are taken 2 hours apart. The first one is taken before the spiroergometry test and the second one - 120 minutes after the first one. The bicarbonate content of the blood is measured and compared with normative values. Bicarbonate is a form of carbon dioxide.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. Two blood samples are taken 2 hours apart. The first one is taken before the spiroergometry test and the second one - 120 minutes after the first one. The lactate saturation is measured and compared with normative values.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. Two blood samples are taken 2 hours apart. The first one is taken before the spiroergometry test and the second one - 120 minutes after the first one. The partial pressure of carbon dioxide (pCO2) of the blood is measured and compared with normative values.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. ECG is a test, used to monitor the electrical activity of the heart. Standard placement of 12-lead electrodes will be used. The patient´s heart rhythm will be assessed. Any abnormalities (too slow, too fast, irregular) will be documented and subsequently clinical consequences are being taken.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. ECG is a test, used to monitor the electrical activity of the heart. Standard placement of 12-lead electrodes will be used. The time interval of PQ corresponds to the time interval from the beginning of the P wave to the beginning of the Q wave of the QRS complex. The time interval of PQ gives us information about the time required for the action potential to be transmitted from the atria to the ventricles. The recorded PQ time will be compared to normative values. In case of delayed PQ times, further diagnostic is carried out according to current guidelines.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. ECG is a test, used to monitor the electrical activity of the heart. Standard placement of 12-lead electrodes will be used. The QRS complex is combination of the Q wave, R wave and S wave. The time interval of QRS corresponds to the time needed for ventricular depolarization. The recorded QRS time will be compared to normative values. In case of new diagnosed bundle blocks, further diagnostic is carried out according to current guidelines.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. ECG is a test, used to monitor the electrical activity of the heart. Standard placement of 12-lead electrodes will be used. The time interval of QT corresponds to the time interval from the beginning of the Q wave to the end of the T wave. The time interval of QT gives us information about the time required for ventricular depolarisation and repolarisation. The recorded QT time will be compared to normative values. In case of abnormal QT times, further diagnostic is carried out according to current guidelines.|Spiroergometry (spirometry while the participant exercises on a bicycle ergometer) is used to evaluate physical performance and fitness. ECG is a test, used to monitor the electrical activity of the heart. Standard placement of 12-lead electrodes will be used. The ST-segment is a section between the end of the S wave and the beginning of the T wave and reflects the depolarized state and initial repolarization of the ventricles. Deviations in the ST segment (elevation or depression) will be documented. In case of ST segment elevation or depression, further diagnostic is carried out according to current guidelines.",,Covid19,COVID-19|Coronavirus Infections,Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany|Germany
242,243,NCT04413838,"June 15, 2021","Although SARS-CoV-2 (Severe Acute Respiratory Syndrome-associated coronavirus) due to COVID-19 evolves poorly towards ARDS (Acute Respiratory Distress Syndrome) and death, there is to date no validated drug available for severe forms of COVID-19. Patients with COVID-19 undergo a drastic decrease of T lymphocytes (LT) count, while the remaining ones display an ""exhausted"" phenotype, due to immunosuppressive pathway activation among which the Programed cell Death 1 (PD1) receptor pathways. LT exhaustion is responsible for host anergy towards viral infection and leads to increased risk of severe forms of COVID-19. Moreover, while the number of systemic LT PD1+ correlates with poor prognosis clinical stages of COVID-19 infection, healing from COVID-19 associates with LT PD1 expression normalization. Chinese epidemiologic data identified clinical risk factors of poor clinical evolution (i.e. ARDS or death), among which is found obesity, similarly to observation previously obtained during H1N1 infection (flu virus).||Obese persons display meta-inflammation and immune dysfunction, a condition similar to ageing, thus termed ""Inflamm-aging"", thus also used during obesity. Inflamm-aging, characterized by cytotoxic LT exhaustion and reduced NK cell (Natural Killer cell) cytotoxic function secondary to PD1 pathway activation, could contribute to the poor prognosis observed during cancer and infection in obese individuals. We hypothesize that the immunocompromised profile observed during obesity contribute to their vulnerability towards COVID-19.||In cancer or certain infection diseases, NIVOLUMAB, an anti-PD1 monoclonal antibody, restores exhausted LT immunity. We thus hypothesize that NIVOLUMAB-induced immunity normalization could (i) stimulate anti-viral response also during COVID-19 infection and (ii) prevent ARDS development, which has previously been associated with low LT count concomitant with increased inflammatory cytokine production.||This randomized controlled therapeutic trial, using an add-on strategy to usual standard of care, aims at demonstrating the efficacy and safety of NIVOLUMAB-induced cytotoxic LT normalization, to improve clinical outcomes in hospitalized COVID-19+ adult obese individuals with low LT, since they are at risk of poor prognosis. We postulate that NIVOLUMAB will increase the number of individuals able to stop oxygen therapy at D15",Efficiency and Security of NIVOLUMAB Therapy in Obese Individuals With COVID-19(COrona VIrus Disease) Infection,,,Patient's clinical state will be evaluated by the proportion of patients able to be weaned of oxygen at D15 after randomization (randomization date is the day where the experimental treatment (i.e. NIVOLUMAB) is administered).,Phase 2,"Obesity, COVID-19 Infection",Infections|Communicable Diseases|COVID-19,France
243,244,NCT04327349,"May 20, 2020","Coronavirus disease 2019 (COVID-19) was recognized as a pandemic on March 11, 2020 by the World Health Organization. The virus that causes COVID-19 (SARS-CoV-2) is easily transmitted through person to person and there is still no specific approach against the disease and mortality rate in severe cases is also significant. Therefore, finding effective treatment for the mortality of these patients is very important. In this study the investigators aim to determine the effect of Convalescent Plasma on COVID-19 patients Outcome through a Clinical Trial",Investigating Effect of Convalescent Plasma on COVID-19 Patients Outcome: A Clinical Trial,Mazandaran University of Medical Sciences,Amir Shamshirian,"Measure of the number of deaths in a particular population, scaled to the size of that population, per unit of time.|Measure of the number of deaths in a particular population, scaled to the size of that population, per unit of time.|Measurement of CRP|Measurement of CRP|Measurement of CRP|Measurement of IL-6|Measurement of IL-6|Measurement of IL-6|Measurement of TNF-α|Measurement of TNF-α|Measurement of TNF-α|Partial pressure of arterial oxygen/Percentage of inspired oxygen|Partial pressure of arterial oxygen/Percentage of inspired oxygen|Partial pressure of arterial oxygen/Percentage of inspired oxygen",Not Applicable,Coronavirus Infections,COVID-19|Coronavirus Infections,"Iran, Islamic Republic of"
244,245,NCT04359667,"April 16, 2021","This is a single arm, prospective, observational, single center study to assess the role of interleukin-6 (IL-6) and soluble interleukin 6 receptor (sIL-6R) as predictors of efficacy and safety outcomes in patients with severe coronavirus disease (COVID-19) pneumonia treated with tocilizumab. At least 30 patients will be enrolled who are diagnosed with severe COVID-19 pneumonia and meet the entry criteria.",Serum IL-6 and Soluble IL-6 Receptor in Severe COVID-19 Pneumonia Treated With Tocilizumab,,,to evaluate the role of laboratory markers as predictors of survival in severe COVID-19 pneumonia patients treated with tocilizumab|to evaluate the role of laboratory markers as predictors of survival in severe COVID-19 pneumonia patients treated with tocilizumab|to evaluate the role of laboratory markers as predictors of survival in severe COVID-19 pneumonia patients treated with tocilizumab|to evaluate the role of laboratory markers as predictors of survival in severe COVID-19 pneumonia patients treated with tocilizumab|to evaluate the role of laboratory markers as predictors of survival in severe COVID-19 pneumonia patients treated with tocilizumab,,COVID-19|Severe Pneumonia,COVID-19|Pneumonia,Croatia
245,246,NCT04343651,"July 21, 2020","This is a Phase 2, two-arm, randomized, double blind, placebo controlled multicenter study to evaluate the safety and efficacy of leronlimab (PRO 140) in patients with mild-to-moderate symptoms of respiratory illness caused by coronavirus 2019 infection.",Study to Evaluate the Efficacy and Safety of Leronlimab for Mild to Moderate COVID-19,,,"Note: The total score per patient ranges from 0 to 12 points. Each symptom is graded from 0 to 3. [0=none, 1=mild, 2=moderate, and 3=severe]. Higher scores mean a worse outcome.",Phase 2,Coronavirus Disease 2019,COVID-19|Coronavirus Infections,United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States|United States
246,247,NCT04418193,"February 4, 2021","To date no treatment has proven its effectiveness in the caring of patients infected with type 2 Coronavirus. The Centre Hospitalier Princesse Grace (CHPG) has decided to only propose randomized double-blind placebo-controlled clinical trials to patients at the early and symptomatic stages of the disease. Data from the literature show in vitro results on the potential clinical benefit of some treatments such as chloroquine or hydroxychloroquine (HXCQ). Observational data suggest a potential benefit of this treatment alone or in combination with azithromycin (HXCQ + AZ). These data were advertised or led to a request from ambulatory medicine and patients to have access to these treatments despite their poor level of evidence. This leads to a decrease in the number of patients recruitable for clinical trials because they refuse the concept of control arms or they wish active treatment (CQ, HXCQ or HXCQ + AZ) from the start.||In this context, we propose to conduct in parallel with randomized trials, a so-called ""patient preference"" protocol which, after patients information, gives them the choice, either to participate in the trial or to choose between treatment with HXCQ, treatment with HXCQ + AZ or standard of care without medication. The patients follow-up and the main endpoint will be the same under the patient preference protocol as for the randomized trial.||The advantage of this approach is to offer a common follow-up to all patients, to take into account patients who refuse to participate in the clinical trial, to obtain external validity data, to reduce selection bias and to increase the heterogeneity of patients exposed to treatment options.||The expected objective is to see if the patient preference protocol leads to observe the same effects as in the randomized trial.",Patient Preference Trial for COVID-19 (PPT-COVID),,,"Number of death from any cause, or the need for intubation and mechanical ventilation during the 14 days following inclusion and start of treatment.",,Coronavirus,COVID-19|Coronavirus Infections,Monaco
247,248,NCT04351724,"December 1, 2021","The Austrian Coronavirus Adaptive Clinical Trial (ACOVACT) is a randomized, controlled, multicenter, open-label basket trial that aims to compare various antiviral treatments for COVID-19. Moreover three substudies have been integrated. Currently, patients will be randomized to receive (hydroxy-)chloroquine (Treatment stopped after reports of safety issues), lopinavir/ritonavir, remdesivir or standard of care. Moreover, these patients are eligible for substudy A (randomized to rivaroxaban 5mg 1-0-1 vs. standard of care), substudy B (renin-angiotensin (RAS) blockade vs. no RAS blockade for patients with blood pressure >120/80mmHg), and substudy C (asunercept vs standard of care, pentglobin vs. standard of care for patients with respiratory deterioration and high inflammatory biomarkers).||Endpoints were chosen based on the master protocol published by the World Health Organisation and include a 7-point scale of clinical performance, mortality, oxygen requirement (both dose and type), duration of hospitalization, viral load and safety.",Austrian CoronaVirus Adaptive Clinical Trial (COVID-19),Medical University of Vienna,Bernd Jilma,"The primary endpoint is time to clinical improvement which is defined as time from randomization to an (sustained) improvement of at least one category on two consecutive days compared to the status at randomization measured on a seven-category ordinal scale (proposed by WHO).||The 7-categories of the World Health Organization proposed scale, as follows:||Not hospitalized, no limitations on activities|Not hospitalized, limitation on activities;|Hospitalized, not requiring supplemental oxygen;|Hospitalized, requiring supplemental oxygen;|Hospitalized, on non-invasive ventilation or high flow oxygen devices;|Hospitalized, on invasive mechanical ventilation or ECMO;|Death.||During hospitalization this score will be determined daily (till day 29). If a patient is released from the hospital before day 29, the score will be determined at day 11 and 29 after randomization (depending when the patient was released or by telephone call).",Phase 2|Phase 3,COVID-19,COVID-19,Austria|Austria|Austria|Austria|Austria|Austria|Austria|Austria|Austria
248,249,NCT04447144,"August 1, 2020","As of May 30th more than 23,000 cases of COVID -19 cases were confirmed in Egypt with total deaths of 913. Post viral entry, intense immune response against the virus with infiltration of monocytes and macrophages into alveolar cells with decreasing number of lymphocytes in peripheral blood along with reduced lymphocytes in lymphoid organs, hypercoagulability, thrombosis and multiple organ damage, The gut microbiota and immune homeostasis seem to have a back and forth relationship.||Also, gut microbiota derived signals are known to tune the immune cells for pro and anti-inflammatory responses thereby affecting the susceptibility to various diseases. Healthy gut microbiome essentially could be pivotal in maintaining an optimal immune system to prevent an array of excessive immune reactions that eventually become detrimental to lungs and vital organ systems.||Numerous studies have shown that the patient's nutritional status have a significant effect on an individual's immunity and over all health status and it has been suggested that nutritional deficiencies may predispose to severe forms of COVID-19 infections.||Co-existing non-communicable chronic diseases (NCDs) in COVID-19 patients have been found to delay patients recovery and worsen their prognosis, the reason may be due to aggravated inflammatory pathology found in NCDs exacerbating COVID-19 infection.||The aim of the study is to evaluate the role dietary habits among COVID-19 Egyptian patients and whether type of diet (Mediterranean or Western) will affect disease outcomes","Nutritional Habits, and Coronavirus Disease 2019 (COVID-19) Outcome",Cairo University,Mona Hegazy,"To assess the relation between type of diet in mild to moderate COVID 19, to the fate of their course; either improvement or progression|To asses any possible links between gut microbiome and the lung affecting clinical presentation of mild to moderate COVID cases; as diarrhea, loss of taste or smell|Possible protective effects of minerals and vitamins against COVID-19 respiratory illness|Trying to explain the link between non-communicable disease severity and COVID-19 prognosis",,Covid19|Chronic Inflammation|Non-Communicable Chronic Diseases,COVID-19|Inflammation|Chronic Disease|Noncommunicable Diseases,Egypt
249,250,NCT04624048,"January 4, 2021",An observational study is carried out in the university population of the University of Salamanca to know the impact of the COVID-19 pandemic and the influence of physical exercise on the severity of symptoms.,Exercise Influence on COVID-19,University of Salamanca,CARLOS MARTIN SANCHEZ,Number of positives,,Infection Viral|Exercise|Coronavirus|Habits,Infections|Coronavirus Infections|Virus Diseases,
